name,date,location,description
Retford Charter Day,2026-05-04,Town Centre & Kings Park,"Annual celebration of Retford's historic charter with rides and festivities."
The Reindeer Car Meet,2026-06-11,"The Reindeer Pub, Sturton-le-Steeple", "From 5pm, £3 Entry Per Car for Charity, BBQ, Hot Dogs & Burgers for sale."
The Reindeer Car Meet,2026-06-25,"The Reindeer Pub, Sturton-le-Steeple", "From 5pm, £3 Entry Per Car for Charity, BBQ, Hot Dogs & Burgers for sale."
The Reindeer Car Meet,2026-07-09,"The Reindeer Pub, Sturton-le-Steeple", "From 5pm, £3 Entry Per Car for Charity, BBQ, Hot Dogs & Burgers for sale."
The Reindeer Car Meet,2026-07-23,"The Reindeer Pub, Sturton-le-Steeple", "From 5pm, £3 Entry Per Car for Charity, BBQ, Hot Dogs & Burgers for sale."
The Reindeer Car Meet,2026-08-13,"The Reindeer Pub, Sturton-le-Steeple", "From 5pm, £3 Entry Per Car for Charity, BBQ, Hot Dogs & Burgers for sale."
The Reindeer Car Meet,2026-08-27,"The Reindeer Pub, Sturton-le-Steeple", "From 5pm, £3 Entry Per Car for Charity, BBQ, Hot Dogs & Burgers for sale."
